TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"851891","YuGiOh","2012 Premium Collection Tin","Elemental HERO The Shining","","PRC1-ENV01","Secret Rare","Near Mint Limited","2.12","","2.2100","1.2200","0","0","2.9900",""
"851145","YuGiOh","2012 Premium Collection Tin","Gravity Warrior","","PRC1-EN020","Secret Rare","Near Mint 1st Edition","0.42","","1.1900","0.2000","0","0","0.4900",""
"851121","YuGiOh","2012 Premium Collection Tin","Junk Forward","","PRC1-EN009","Super Rare","Near Mint 1st Edition","0.61","","1.4600","0.4700","0","0","3.9900",""
"851144","YuGiOh","2012 Premium Collection Tin","Kagemucha Knight","","PRC1-EN014","Secret Rare","Near Mint 1st Edition","1.13","1.20","1.9600","0.9700","0","0","0.4900",""
"851143","YuGiOh","2012 Premium Collection Tin","Ma'at","","PRC1-EN017","Secret Rare","Near Mint 1st Edition","0.50","","1.1900","0.2000","0","0","0.4900",""
"851142","YuGiOh","2012 Premium Collection Tin","Machina Cannon","","PRC1-EN011","Super Rare","Near Mint 1st Edition","0.35","","1.0700","0.0800","0","0","0.4900",""
"851126","YuGiOh","2012 Premium Collection Tin","Masked HERO Acid","","PRC1-EN018","Secret Rare","Near Mint 1st Edition","5.96","","5.4600","4.4700","0","0","5.4900",""
"851136","YuGiOh","2012 Premium Collection Tin","Masked HERO Dian","","PRC1-EN019","Secret Rare","Near Mint 1st Edition","1.17","","1.6900","0.7000","2","0","1.7400",""
"851130","YuGiOh","2012 Premium Collection Tin","Meteor B. Dragon","","PRC1-EN004","Super Rare","Near Mint 1st Edition","0.82","","1.4800","0.4900","0","0","1.9900",""
"851901","YuGiOh","2012 Premium Collection Tin","Number 34: Terror-Byte","","PRC1-ENV02","Secret Rare","Near Mint Limited","0.26","","1.1000","0.1100","4","0","0.4900",""
"851138","YuGiOh","2012 Premium Collection Tin","Photon Sanctuary","","PRC1-EN022","Secret Rare","Near Mint 1st Edition","5.96","6.09","6.0900","5.1000","0","0","8.4900",""
"851133","YuGiOh","2012 Premium Collection Tin","Rosaria, the Stately Fallen Angel","","PRC1-EN016","Secret Rare","Near Mint 1st Edition","0.47","","1.2900","0.3000","0","0","0.7400",""
"851124","YuGiOh","2012 Premium Collection Tin","Void Ogre Dragon","","PRC1-EN021","Secret Rare","Near Mint 1st Edition","1.68","","2.6100","1.6200","0","0","1.9900",""
"1131226","YuGiOh","2013 Collectors Tins","Ally of Justice Catastor","","CT10-EN006","Super Rare","Near Mint Limited","0.58","","1.2900","0.3000","0","0","0.4900",""
"1131231","YuGiOh","2013 Collectors Tins","Black Luster Soldier - Envoy of the Beginning","","CT10-EN005","Super Rare","Near Mint Limited","1.64","","2.0600","1.0700","0","0","4.4900",""
"1131196","YuGiOh","2013 Collectors Tins","Blaster, Dragon Ruler of Infernos","","CT10-EN002","Secret Rare","Near Mint Limited","7.39","","6.4900","5.5000","0","0","3.9900",""
"1131201","YuGiOh","2013 Collectors Tins","Brotherhood of the Fire Fist - Bear","","CT10-EN008","Super Rare","Near Mint Limited","0.18","","1.0600","0.0700","128","0","0.4900",""
"1146786","YuGiOh","2013 Collectors Tins","Diamond Dire Wolf","","CT10-EN012","Super Rare","Near Mint Limited","1.27","","1.9300","0.9400","0","0","1.4900",""
"1131211","YuGiOh","2013 Collectors Tins","Gagaga Cowboy","","CT10-EN010","Super Rare","Near Mint Limited","3.16","4.65","3.7300","2.7400","0","0","1.9900",""
"1146791","YuGiOh","2013 Collectors Tins","Gear Gigant X","","CT10-EN017","Super Rare","Near Mint Limited","4.80","","4.8400","3.8500","0","0","1.4900",""
"1131206","YuGiOh","2013 Collectors Tins","Karakuri Shogun mdl 00 ""Burei""","","CT10-EN009","Super Rare","Near Mint Limited","0.42","","1.1400","0.1500","50","0","0.4900",""
"1131236","YuGiOh","2013 Collectors Tins","Number 40: Gimmick Puppet of Strings","","CT10-EN011","Super Rare","Near Mint Limited","0.39","","1.0900","0.1000","11","0","0.4900",""
"1146796","YuGiOh","2013 Collectors Tins","Number 50: Blackship of Corn","","CT10-EN018","Super Rare","Near Mint Limited","1.72","","2.0200","1.0300","0","0","1.9900",""
"1146801","YuGiOh","2013 Collectors Tins","Number 88: Gimmick Puppet of Leo","","CT10-EN013","Super Rare","Near Mint Limited","0.69","","1.3400","0.3500","0","0","1.2400",""
"1146806","YuGiOh","2013 Collectors Tins","Rank-Up-Magic Barian's Force","","CT10-EN015","Super Rare","Near Mint Limited","0.31","","1.1300","0.1400","99","0","0.4900",""
"1146811","YuGiOh","2013 Collectors Tins","Redox, Dragon Ruler of Boulders","","CT10-EN003","Secret Rare","Near Mint Limited","3.11","1.87","2.8600","1.8700","0","0","3.4900",""
"1146816","YuGiOh","2013 Collectors Tins","Spellbook of the Master","","CT10-EN014","Super Rare","Near Mint Limited","1.51","","1.9100","0.9200","0","0","0.4900",""
"1131221","YuGiOh","2013 Collectors Tins","Superdreadnought Rail Cannon Gustav Max","","CT10-EN007","Super Rare","Near Mint Limited","1.47","2.50","2.1000","1.1100","0","0","3.9900",""
"C-384910","YuGiOh","2013 Collectors Tins","Superdreadnought Rail Cannon Gustav Max","GERMAN Superdreadnought Rail Cannon Gustav Max","CT10-EN007","Super Rare","Near Mint Limited","","","","","0","0","3.9900","https://static.tcgplayer.com/C4C4113D-1185-4640-9CE9-A048823399DE"
"1146821","YuGiOh","2013 Collectors Tins","Tempest, Dragon Ruler of Storms","","CT10-EN004","Secret Rare","Near Mint Limited","3.36","4.25","3.9700","2.9800","0","0","2.9900",""
"1146826","YuGiOh","2013 Collectors Tins","Thunder Sea Horse","","CT10-EN016","Super Rare","Near Mint Limited","0.29","","1.1500","0.1600","28","0","0.4900",""
"1131216","YuGiOh","2013 Collectors Tins","Tidal, Dragon Ruler of Waterfalls","","CT10-EN001","Secret Rare","Near Mint Limited","6.94","6.49","5.9700","4.9800","0","0","3.9900",""
"1074633","YuGiOh","2013 Zexal Collection Tin","Accellight","","ZTIN-EN016","Ultra Rare","Near Mint 1st Edition","0.54","","1.1800","0.1900","0","0","0.7400",""
"1074643","YuGiOh","2013 Zexal Collection Tin","Galaxy Expedition","","ZTIN-EN017","Ultra Rare","Near Mint 1st Edition","5.90","","5.1400","5.1400","0","0","8.4900",""
"1074621","YuGiOh","2013 Zexal Collection Tin","Galaxy Knight","","ZTIN-EN012","Ultra Rare","Near Mint 1st Edition","0.70","","1.3400","0.3500","0","0","5.4900",""
"1074618","YuGiOh","2013 Zexal Collection Tin","Number 19: Freezadon","","ZTIN-EN003","Ultra Rare","Near Mint 1st Edition","0.77","","1.5400","0.5500","0","0","0.9900",""
"C-352448","YuGiOh","2013 Zexal Collection Tin","Number 20: Giga-Brilliant","GERMAN Number 20: Gigabrilliant","ZTIN-ENV02","Ultimate Rare","Near Mint Limited","","","","","0","0","0.9900","https://static.tcgplayer.com/13991381-AE3E-4ABB-94F4-5048ECB3643F"
"1074634","YuGiOh","2013 Zexal Collection Tin","Number 61: Volcasaurus","","ZTIN-EN002","Ultra Rare","Near Mint 1st Edition","1.80","","2.3400","1.3500","0","0","1.9900",""
