,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
254,1252874,YuGiOh,2014 Mega-Tins Mega Pack,"Talaya, Princess of Cherry Blossoms",0,MP14-EN089,Super Rare,Near Mint 1st Edition,0.51,0.0,1.3,0.31,13,0,0.99,0
257,1252709,YuGiOh,2014 Mega-Tins Mega Pack,Totem Bird,0,MP14-EN056,Secret Rare,Near Mint 1st Edition,0.69,0.0,1.29,0.3,3,0,1.49,0
259,1252854,YuGiOh,2014 Mega-Tins Mega Pack,Traptrix Atrax,0,MP14-EN085,Rare,Near Mint 1st Edition,0.88,0.0,1.48,0.49,1,0,2.49,0
260,1252859,YuGiOh,2014 Mega-Tins Mega Pack,Traptrix Myrmeleo,0,MP14-EN086,Rare,Near Mint 1st Edition,0.99,0.0,1.49,0.5,23,0,1.24,0
266,1253309,YuGiOh,2014 Mega-Tins Mega Pack,Vampire Takeover,0,MP14-EN176,Super Rare,Near Mint 1st Edition,1.22,0.0,1.46,0.47,3,0,3.49,0
267,1253349,YuGiOh,2014 Mega-Tins Mega Pack,White Dragon Wyverburster,0,MP14-EN184,Common,Near Mint 1st Edition,0.21,0.0,1.2,0.21,33,0,0.99,0
268,1252539,YuGiOh,2014 Mega-Tins Mega Pack,Windrose the Elemental Lord,0,MP14-EN022,Secret Rare,Near Mint 1st Edition,0.4,0.0,1.2,0.21,9,0,0.99,0
271,2954218,YuGiOh,2015 Mega-Tins,"Castel, the Skyblaster Musketeer",0,CT12-EN006,Super Rare,Near Mint Limited,0.35,0.0,1.09,0.1,1,0,0.74,0
273,2954198,YuGiOh,2015 Mega-Tins,Elder Entity Norden,0,CT12-EN003,Super Rare,Near Mint Limited,1.12,0.0,1.92,0.93,1,0,1.99,0
274,2954203,YuGiOh,2015 Mega-Tins,Majesty's Fiend,0,CT12-EN004,Super Rare,Near Mint Limited,0.21,0.0,1.12,0.13,111,0,0.74,0
